Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","FanDuel Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
OF,"McLouth, Nate DL-15",WAS,L,R,NYM,"Colon, B.",Unknown,"$2,500",0.6,0.2,0.0,0.0,0.0,0.0
OF,"Young, Chris",NYY,R,R,TOR,"Hutchison, D.",Unknown,"$2,700",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Aviles, Mike",CLE,R,L,@HOU,"Keuchel, D.",Unknown,"$2,500",0.5,0.2,0.0,0.0,0.0,0.0
2B,"Beckham, Gordon",CWS,R,R,@KC,"Ventura, Y.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
C,"Pierzynski, A.J.",ATL,L,R,@MIA,"Alvarez, H.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
C,"Lobaton, Jose",WAS,B,R,NYM,"Colon, B.",Unknown,"$2,300",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Escobar, Eduardo",MIN,B,L,@DET,"Price, D.",Unknown,"$2,500",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Rodriguez, Sean",PIT,R,R,@CIN,"Cueto, J.",Unknown,"$2,500",0.5,0.2,0.0,0.0,0.0,0.0
OF,"Ethier, Andre",LAD,L,R,SD,"Shields, J.",Unknown,"$2,500",0.5,0.2,0.0,0.0,0.0,0.0
C,"Sanchez, Tony",PIT,R,R,@CIN,"Cueto, J.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
OF,"Suzuki, Ichiro",MIA,L,R,ATL,"Teheran, J.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Cabrera, Everth",BAL,B,R,@TB,"Archer, C.",Unknown,"$2,700",0.5,0.2,0.0,0.0,0.0,0.0
C,"Hanigan, Ryan",BOS,R,L,@PHI,"Hamels, C.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
2B,"Espinosa, Danny",WAS,B,R,NYM,"Colon, B.",Unknown,"$2,300",0.5,0.2,0.0,0.0,0.0,0.0
OF,"Gentry, Craig",OAK,R,R,TEX,"Gallardo, Y.",Unknown,"$2,600",0.5,0.2,0.0,0.0,0.0,0.0
OF,"Nieuwenhuis, Kirk",NYM,L,R,@WAS,"Scherzer, M.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
C,"Hundley, Nick",COL,R,R,@MIL,"Lohse, K.",Unknown,"$2,500",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Gonzalez, Marwin",HOU,B,R,CLE,"Kluber, C.",Unknown,"$2,300",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Tejada, Ruben",NYM,R,R,@WAS,"Scherzer, M.",Unknown,"$2,300",0.5,0.2,0.0,0.0,0.0,0.0
OF,"Mayberry, John",NYM,R,R,@WAS,"Scherzer, M.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
2B,"Gosselin, Phil",ATL,R,R,@MIA,"Alvarez, H.",Unknown,"$2,300",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Pennington, Cliff",ARI,B,L,SF,"Bumgarner, M.",Unknown,"$2,200",0.5,0.2,0.0,0.0,0.0,0.0
OF,"Young, Delmon",BAL,R,R,@TB,"Archer, C.",Unknown,"$2,700",0.5,0.2,0.0,0.0,0.0,0.0
2B,"Forsythe, Logan",TB,R,R,BAL,"Tillman, C.",Unknown,"$2,200",0.5,0.2,0.0,0.0,0.0,0.0
C,"Stewart, Chris DL-15",PIT,R,R,@CIN,"Cueto, J.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
SS,"Colon, Christian",KC,R,R,CWS,"Samardzija, J.",Unknown,"$2,400",0.5,0.2,0.0,0.0,0.0,0.0
C,"McCann, James",DET,R,R,MIN,"Hughes, P.",Unknown,"$2,200",0.5,0.2,0.0,0.0,0.0,0.0
3B,"Valencia, Danny",TOR,R,R,@NYY,"Tanaka, M.",Unknown,"$2,400",0.4,0.2,0.0,0.0,0.0,0.0
C,"Conger, Hank",HOU,B,R,CLE,"Kluber, C.",Unknown,"$2,200",0.4,0.2,0.0,0.0,0.0,0.0
2B,"Weeks, Rickie",SEA,R,R,LAA,"Weaver, J.",Unknown,"$2,800",0.4,0.2,0.0,0.0,0.0,0.0
2B,"Flaherty, Ryan",BAL,L,R,@TB,"Archer, C.",Unknown,"$2,500",0.4,0.2,0.0,0.0,0.0,0.0
OF,"Hart, Corey",PIT,R,R,@CIN,"Cueto, J.",Unknown,"$2,200",0.4,0.2,0.0,0.0,0.0,0.0
2B,"Solano, Donovan",MIA,R,R,ATL,"Teheran, J.",Unknown,"$2,300",0.4,0.2,0.0,0.0,0.0,0.0
SS,"Ahmed, Nick DTD",ARI,R,L,SF,"Bumgarner, M.",Unknown,"$2,400",0.4,0.2,0.0,0.0,0.0,0.0
C,"Joseph, Caleb",BAL,R,R,@TB,"Archer, C.",Unknown,"$2,200",0.4,0.2,0.0,0.0,0.0,0.0
C,"Pena, Brayan",CIN,B,L,PIT,"Liriano, F.",Unknown,"$2,200",0.4,0.2,0.0,0.0,0.0,0.0
2B,"Descalso, Daniel",COL,L,R,@MIL,"Lohse, K.",Unknown,"$2,300",0.4,0.2,0.0,0.0,0.0,0.0
2B,"Baker, Jeff",MIA,R,R,ATL,"Teheran, J.",Unknown,"$2,200",0.4,0.2,0.0,0.0,0.0,0.0
OF,"Gomes, Jonny",ATL,R,R,@MIA,"Alvarez, H.",Unknown,"$2,500",0.4,0.2,0.0,0.0,0.0,0.0
SS,"Pirela, Jose DL-7",NYY,R,R,TOR,"Hutchison, D.",Unknown,"$2,200",0.4,0.2,0.0,0.0,0.0,0.0
2B,"Schumaker, Skip",CIN,L,L,PIT,"Liriano, F.",Unknown,"$2,300",0.4,0.2,0.0,0.0,0.0,0.0
3B,"Holt, Brock",BOS,L,L,@PHI,"Hamels, C.",Unknown,"$2,700",0.4,0.1,0.0,0.0,0.0,0.0
OF,"Ruggiano, Justin",SEA,R,R,LAA,"Weaver, J.",Unknown,"$2,700",0.4,0.1,0.0,0.0,0.0,0.0
C,"Sanchez, Hector",SF,B,R,@ARI,"Collmenter, J.",Unknown,"$2,200",0.4,0.2,0.0,0.0,0.0,0.0
SS,"Ryan, Brendan DL-15",NYY,R,R,TOR,"Hutchison, D.",Unknown,"$2,400",0.3,0.1,0.0,0.0,0.0,0.0
C,"Mathis, Jeff",MIA,R,R,ATL,"Teheran, J.",Unknown,"$2,200",0.3,0.2,0.0,0.0,0.0,0.0
OF,"Cowgill, Collin",LAA,R,R,@SEA,"Hernandez, F.",Unknown,"$2,400",0.3,0.1,0.0,0.0,0.0,0.0
2B,"Arias, Joaquin",SF,R,R,@ARI,"Collmenter, J.",Unknown,"$2,600",0.3,0.1,0.0,0.0,0.0,0.0
1B,"Ishikawa, Travis DL-15",SF,L,R,@ARI,"Collmenter, J.",Unknown,"$2,500",0.3,0.1,0.0,0.0,0.0,0.0
OF,"Raburn, Ryan",CLE,R,L,@HOU,"Keuchel, D.",Unknown,"$2,500",0.3,0.1,0.0,0.0,0.0,0.0
1B,"Ruf, Darin",PHI,R,R,BOS,"Buchholz, C.",Unknown,"$2,400",0.2,0.1,0.0,0.0,0.0,0.0
SS,"Taylor, Chris DL-15",SEA,R,R,LAA,"Weaver, J.",Unknown,"$2,400",0.0,0.0,0.0,0.0,0.0,0.0
P,"Hutchison, Drew",TOR,L,R,@NYY,"Tanaka, M.",P,"$7,400",0.0,0.0,0.0,0.0,0.0,0.0
SS,"Walters, Zach DL-7",CLE,B,L,@HOU,"Keuchel, D.",Unknown,"$2,400",0.0,0.0,0.0,0.0,0.0,0.0
P,"Kendrick, Kyle",COL,R,R,@MIL,"Lohse, K.",P,"$6,600",0.0,0.0,0.0,0.0,0.0,0.0
P,"Price, David",DET,L,R,MIN,"Hughes, P.",P,"$10,600",0.0,0.0,0.0,0.0,0.0,0.0
OF,"Pence, Hunter DL-15",SF,R,R,@ARI,"Collmenter, J.",Unknown,"$3,800",0.0,0.0,0.0,0.0,0.0,0.0
OF,"Span, Denard DL-15",WAS,L,R,NYM,"Colon, B.",Unknown,"$3,300",0.0,0.0,0.0,0.0,0.0,0.0
P,"Liriano, Francisco",PIT,L,R,@CIN,"Cueto, J.",P,"$8,500",0.0,0.0,0.0,0.0,0.0,0.0
OF,"Upton Jr., Melvin DL-15",SD,R,L,@LAD,"Kershaw, C.",Unknown,"$2,800",0.0,0.0,0.0,0.0,0.0,0.0
OF,"Hamilton, Josh DL-15",LAA,L,R,@SEA,"Hernandez, F.",Unknown,"$3,000",0.0,0.0,0.0,0.0,0.0,0.0
3B,"Rodriguez, Alex",NYY,R,R,TOR,"Hutchison, D.",Unknown,"$3,000",0.0,0.0,0.0,0.0,0.0,0.0
P,"Tanaka, Masahiro",NYY,R,R,TOR,"Hutchison, D.",P,"$9,100",0.0,0.0,0.0,0.0,0.0,0.0
P,"Alvarez, Henderson",MIA,R,R,ATL,"Teheran, J.",P,"$7,400",0.0,0.0,0.0,0.0,0.0,0.0
SS,"Iglesias, Jose",DET,R,R,MIN,"Hughes, P.",Unknown,"$2,600",0.0,0.0,0.0,0.0,0.0,0.0
P,"Archer, Chris",TB,R,R,BAL,"Tillman, C.",P,"$8,600",0.0,0.0,0.0,0.0,0.0,0.0
OF,"Reddick, Josh DL-15",OAK,L,R,TEX,"Gallardo, Y.",Unknown,"$3,400",0.0,0.0,0.0,0.0,0.0,0.0
