Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","DraftKings Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
C,"Bethancourt, Christian",ATL,R,R,NYM,"Gee, D.",7th,"$3,000",5.4,1.8,5.3,1.8,5.3,1.8
SS,"Barmes, Clint",SD,R,L,SF,"Bumgarner, M.",8th,"$2,500",5.1,2.0,3.8,1.5,3.8,1.5
C/OF,"Gattis, Evan",HOU,R,R,@TEX,"Gallardo, Y.",Bench,"$4,400",2.6,0.6,0.0,0.0,0.0,0.0
OF,"Polanco, Gregory",PIT,L,R,@MIL,"Nelson, J.",Bench,"$4,500",2.5,0.6,6.5,1.4,6.5,1.4
1B/OF,"Ruf, Darin",PHI,R,R,WAS,"Fister, D.",Bench,"$3,800",2.5,0.7,2.0,0.5,2.0,0.5
OF,"Choo, Shin-Soo DTD",TEX,L,R,HOU,"Hernandez, R.",Bench,"$4,900",2.5,0.5,7.0,1.4,7.0,1.4
SS,"Villar, Jonathan",HOU,B,R,@TEX,"Gallardo, Y.",Bench,"$3,800",2.4,0.6,1.0,0.3,1.0,0.3
OF,"Gomes, Jonny",ATL,R,R,NYM,"Gee, D.",Bench,"$3,200",2.3,0.7,4.7,1.5,4.7,1.5
C,"Navarro, Dioner",TOR,B,R,@BAL,"Jimenez, U.",Bench,"$4,000",2.3,0.6,7.0,1.8,7.0,1.8
OF,"Nieuwenhuis, Kirk",NYM,L,R,@ATL,"Teheran, J.",Bench,"$3,300",2.3,0.7,1.8,0.5,1.8,0.5
C,"Ellis, A.J.",LAD,R,R,@ARI,"Bradley, A.",8th,"$3,500",2.3,0.7,2.0,0.6,2.0,0.6
2B/OF,"Rodriguez, Sean",PIT,R,R,@MIL,"Nelson, J.",Bench,"$3,300",2.3,0.7,1.0,0.3,1.0,0.3
OF,"Peralta, David",ARI,L,L,LAD,"Kershaw, C.",Bench,"$3,700",2.3,0.6,9.0,2.4,9.0,2.4
1B/OF,"Moore, Tyler",WAS,R,L,@PHI,"Hamels, C.",Bench,"$2,600",2.3,0.9,0.5,0.2,0.5,0.2
OF,"Szczur, Matt",CHC,R,R,@COL,"Kendrick, K.",Bench,"$3,100",2.3,0.7,4.5,1.5,4.5,1.5
