Pos,"Player Name",Team,B,"Pitcher Matchup T","Pitcher Matchup Opp","Pitcher Matchup Opp Pitcher","Lineup Slot","DraftKings Salary","Today FP","Today Value","Last 5 Games FP/G","Last 5 Games Value","Season FP/G","Season Value"
1B,"Morneau, Justin",COL,L,R,CHC,"Hammel, J.",4th,"$5,300",7.8,1.5,4.8,0.9,4.8,0.9
3B,"Ramirez, Aramis",MIL,R,R,PIT,"Worley, V.",5th,"$4,200",7.8,1.8,2.3,0.5,2.3,0.5
1B,"Lind, Adam",MIL,L,R,PIT,"Worley, V.",4th,"$4,600",7.8,1.7,13.8,3.0,13.8,3.0
OF,"Coghlan, Chris",CHC,L,R,@COL,"Kendrick, K.",6th,"$4,600",7.7,1.7,1.7,0.4,1.7,0.4
SS,"Castro, Starlin",CHC,R,R,@COL,"Kendrick, K.",5th,"$5,200",7.7,1.5,4.3,0.8,4.3,0.8
1B/OF,"Trumbo, Mark",ARI,R,L,LAD,"Kershaw, C.",4th,"$3,800",7.7,2.0,5.8,1.5,5.8,1.5
OF,"Revere, Ben",PHI,L,R,WAS,"Fister, D.",1st,"$4,000",7.7,1.9,3.8,0.9,3.8,0.9
1B,"Hosmer, Eric",KC,L,R,@LAA,"Weaver, J.",Unknown,"$4,000",7.7,1.9,11.0,2.8,11.0,2.8
OF,"Harper, Bryce",WAS,L,L,@PHI,"Hamels, C.",3rd,"$4,100",7.6,1.9,7.0,1.7,7.0,1.7
OF,"Gordon, Alex",KC,L,R,@LAA,"Weaver, J.",Unknown,"$4,000",7.6,1.9,5.7,1.4,5.7,1.4
OF,"Pagan, Angel",SF,B,R,@SD,"Shields, J.",3rd,"$3,400",7.5,2.2,9.8,2.9,9.8,2.9
OF,"Rasmus, Colby",HOU,L,R,@TEX,"Gallardo, Y.",7th,"$4,200",7.5,1.8,5.3,1.3,5.3,1.3
OF,"Pompey, Dalton",TOR,B,R,@BAL,"Jimenez, U.",2nd,"$4,100",7.5,1.8,6.8,1.6,6.8,1.6
C,"Martin, Russell",TOR,R,R,@BAL,"Jimenez, U.",6th,"$4,500",7.5,1.7,4.3,1.0,4.3,1.0
2B,"Kendrick, Howie",LAD,R,R,@ARI,"Bradley, A.",4th,"$4,600",7.4,1.6,7.8,1.7,7.8,1.7
1B,"Howard, Ryan",PHI,L,R,WAS,"Fister, D.",4th,"$3,900",7.3,1.9,1.7,0.4,1.7,0.4
OF,"Aoki, Norichika",SF,L,R,@SD,"Shields, J.",1st,"$3,500",7.3,2.1,8.6,2.5,8.6,2.5
C,"Cervelli, Francisco",PIT,B,R,@MIL,"Nelson, J.",2nd,"$3,400",7.3,2.1,7.3,2.2,7.3,2.2
SS,"Smolinski, Jake",TEX,R,R,HOU,"Hernandez, R.",5th,"$3,400",7.3,2.1,0.7,0.2,0.7,0.2
C,"Grandal, Yasmani",LAD,B,R,@ARI,"Bradley, A.",Bench,"$3,700",7.3,2.0,6.7,1.8,6.7,1.8
2B,"Hill, Aaron",ARI,R,L,LAD,"Kershaw, C.",5th,"$3,500",7.2,2.1,4.5,1.3,4.5,1.3
2B,"Murphy, Daniel",NYM,L,R,@ATL,"Teheran, J.",5th,"$3,900",7.2,1.9,3.0,0.8,3.0,0.8
SS,"Escobar, Alcides",KC,R,R,@LAA,"Weaver, J.",Unknown,"$3,700",7.2,1.9,11.5,3.1,11.5,3.1
OF,"Taylor, Michael",WAS,R,L,@PHI,"Hamels, C.",1st,"$3,100",7.2,2.3,8.5,2.7,8.5,2.7
OF,"Inciarte, Ender",ARI,L,L,LAD,"Kershaw, C.",2nd,"$3,100",7.1,2.3,6.3,2.0,6.3,2.0
1B/3B,"Johnson, Kelly",ATL,L,R,NYM,"Gee, D.",5th,"$3,000",7.1,2.4,3.0,1.0,3.0,1.0
C,"Castro, Jason",HOU,L,R,@TEX,"Gallardo, Y.",6th,"$4,000",7.1,1.8,5.3,1.3,5.3,1.3
SS,"Owings, Chris",ARI,R,L,LAD,"Kershaw, C.",6th,"$3,300",7.1,2.2,0.7,0.2,0.7,0.2
C,"Montero, Miguel",CHC,L,R,@COL,"Kendrick, K.",4th,"$4,600",7.1,1.6,1.0,0.2,1.0,0.2
OF,"Hart, Corey",PIT,R,R,@MIL,"Nelson, J.",6th,"$3,600",7.1,2.0,5.0,1.4,5.0,1.4
OF,"Snider, Travis",BAL,L,R,TOR,"Sanchez, A.",5th,"$4,100",7.1,1.7,8.5,2.1,8.5,2.1
1B,"Moreland, Mitch",TEX,L,R,HOU,"Hernandez, R.",6th,"$4,400",7.1,1.6,5.8,1.3,5.8,1.3
C,"Ramos, Wilson",WAS,R,L,@PHI,"Hamels, C.",5th,"$3,500",7.1,2.0,2.7,0.8,2.7,0.8
SS,"Lowrie, Jed",HOU,B,R,@TEX,"Gallardo, Y.",3rd,"$4,200",7.1,1.7,10.8,2.6,10.8,2.6
3B,"Machado, Manny",BAL,R,R,TOR,"Sanchez, A.",6th,"$4,500",7.1,1.6,1.5,0.3,1.5,0.3
1B,"Cron, C.J.",LAA,R,R,KC,"Guthrie, J.",Bench,"$3,600",7.0,1.9,0.7,0.2,0.7,0.2
OF,"Joyce, Matt",LAA,L,R,KC,"Guthrie, J.",4th,"$3,900",7.0,1.8,3.3,0.9,3.3,0.9
2B/3B,"Valbuena, Luis",HOU,L,R,@TEX,"Gallardo, Y.",5th,"$4,200",7.0,1.7,0.7,0.2,0.7,0.2
SS,"Andrus, Elvis",TEX,R,R,HOU,"Hernandez, R.",7th,"$4,500",6.9,1.5,1.8,0.4,1.8,0.4
OF,"Lambo, Andrew",PIT,L,R,@MIL,"Nelson, J.",7th,"$3,400",6.9,2.0,0.5,0.1,0.5,0.1
OF,"Markakis, Nick",ATL,L,R,NYM,"Gee, D.",3rd,"$3,700",6.9,1.9,7.5,2.0,7.5,2.0
3B,"Olt, Mike",CHC,R,R,@COL,"Kendrick, K.",7th,"$3,700",6.9,1.9,1.0,0.3,1.0,0.3
OF,"Blanco, Gregor",SF,L,R,@SD,"Shields, J.",6th,"$3,000",6.8,2.3,3.0,1.0,3.0,1.0
2B/3B,"Gyorko, Jedd",SD,R,L,SF,"Bumgarner, M.",7th,"$3,300",6.8,2.1,2.4,0.7,2.4,0.7
SS,"Segura, Jean",MIL,R,R,PIT,"Worley, V.",7th,"$4,200",6.8,1.6,7.0,1.7,7.0,1.7
3B,"Freese, David",LAA,R,R,KC,"Guthrie, J.",5th,"$3,600",6.8,1.9,10.5,2.9,10.5,2.9
C,"Perez, Salvador",KC,R,R,@LAA,"Weaver, J.",Unknown,"$3,600",6.8,1.9,11.5,3.2,11.5,3.2
